,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
146,scagr7,141,180,25380,29,19,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:06:44,valid solution
147,scagr7,141,180,25380,29,19,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:02:38,valid solution
148,scagr7,141,180,25380,29,19,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
149,scagr7,141,180,25380,29,19,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
150,scagr7,141,180,25380,29,19,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:06,
151,scagr7,141,180,25380,29,19,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:03:03,valid solution
152,scagr7,141,180,25380,29,19,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
153,scagr7,141,180,25380,29,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
154,fit1d,1027,26,26702,5,119,0,0,0,theorem_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
155,fit1d,1027,26,26702,5,119,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
156,fit1d,1027,26,26702,5,119,0,0,0,theorem_model,chuffed,1,unknown,equal by permutation,netlib/,unknown, ,no result file
157,fit1d,1027,26,26702,5,119,0,0,0,theorem_model,gecode,1,unknown,equal by permutation,netlib/,unknown, ,no result file
158,fit1d,1027,26,26702,5,119,0,0,0,quadratic_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
159,fit1d,1027,26,26702,5,119,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
160,fit1d,1027,26,26702,5,119,0,0,0,quadratic_model,chuffed,1,unknown,equal by permutation,netlib/,unknown, ,no result file
161,fit1d,1027,26,26702,5,119,0,0,0,quadratic_model,gecode,1,unknown,equal by permutation,netlib/,unknown, ,no result file
162,fit1d,1027,26,26702,5,119,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
163,fit1d,1027,26,26702,5,119,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
164,fit1d,1027,26,26702,5,119,0,0,0,permutation_model,chuffed,1,unknown,equal by permutation,netlib/,unknown, ,no result file
165,fit1d,1027,26,26702,5,119,0,0,0,permutation_model,gecode,1,unknown,equal by permutation,netlib/,unknown, ,no result file
166,fit1d,1027,26,26702,5,119,0,0,0,algo,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:49,valid-solution
167,fit1d,1027,26,26702,5,119,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:32,valid-solution
168,recipe,181,159,28779,52,52,0,0,0,theorem_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
169,recipe,181,159,28779,52,52,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
170,recipe,181,159,28779,52,52,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:11,
171,recipe,181,159,28779,52,52,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:07:13,valid solution
172,recipe,181,159,28779,52,52,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:04:07,approximate solution
173,recipe,181,159,28779,52,52,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
174,recipe,181,159,28779,52,52,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:05:36,approximate solution
175,recipe,181,159,28779,52,52,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:03:43,approximate solution
176,recipe,181,159,28779,52,52,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
177,recipe,181,159,28779,52,52,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
178,recipe,181,159,28779,52,52,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:09,
179,recipe,181,159,28779,52,52,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:06:49,valid solution
180,recipe,181,159,28779,52,52,0,0,0,algo,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
181,recipe,181,159,28779,52,52,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
182,boeing2,163,185,30155,2,13,0,0,0,theorem_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
183,boeing2,163,185,30155,2,13,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
184,boeing2,163,185,30155,2,13,0,0,0,theorem_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:08,
185,boeing2,163,185,30155,2,13,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:07:27,valid solution
186,boeing2,163,185,30155,2,13,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:04:35,valid solution
187,boeing2,163,185,30155,2,13,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
188,boeing2,163,185,30155,2,13,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:06:23,valid solution
189,boeing2,163,185,30155,2,13,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:02:56,valid solution
190,boeing2,163,185,30155,2,13,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,netlib/,unknown, ,no result file
191,boeing2,163,185,30155,2,13,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
192,boeing2,163,185,30155,2,13,0,0,0,permutation_model,chuffed,10,yes,equal by permutation,netlib/,unknown due to timeout,45:50:08,
193,boeing2,163,185,30155,2,13,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:04:16,valid solution
194,boeing2,163,185,30155,2,13,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
195,boeing2,163,185,30155,2,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
