,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
514,e226,283,206,58298,54,19,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:1:27,valid-solution,64,1
515,forplan,423,246,104058,72,95,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
516,bore3d,316,381,120396,133,100,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
517,agg,164,495,81180,60,32,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
518,capri,354,404,143016,113,1,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
519,scorpion,359,565,202835,127,116,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
520,bandm,473,539,254947,168,99,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
521,sctap1,481,421,202501,137,89,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
522,scfxm1,458,469,214802,94,16,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
523,agg2,303,545,165135,180,97,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
524,agg3,303,545,165135,171,102,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
525,boeing1,474,446,211404,107,136,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
526,stair,468,566,264888,150,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
527,grow15,646,601,388246,168,121,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
528,tuff,588,622,365736,183,155,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
529,scsd6,1351,295,398545,16,420,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
530,scagr25,501,648,324648,154,145,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
531,degen2,535,666,356310,118,27,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
532,etamacro,689,673,463697,191,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
533,finnis,615,522,321030,167,147,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
534,standata,1076,516,555216,63,283,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
535,pilot4,1001,682,682682,208,182,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
536,grow22,947,881,834307,265,251,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
537,standgub,1185,520,616200,120,250,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
538,fffff800,855,829,708795,192,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
539,standmps,1076,732,787632,34,296,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
540,seba,1036,1030,1067080,227,82,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
541,scrs8,1170,863,1009710,169,154,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
542,ship04s,1459,573,836007,188,318,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
543,scfxm2,915,937,857355,282,165,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
544,wood1p,2595,487,1263765,107,555,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
545,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
546,bnl1,1176,821,965496,261,325,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
547,ship04l,2119,749,1587131,115,641,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
548,perold,1377,1117,1538109,20,419,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
549,shell,1776,1071,1902096,342,485,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
550,fit1p,1678,1255,2105890,357,369,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
551,scsd8,2751,795,2187045,267,832,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
552,modszk1,1621,1373,2225633,335,223,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
553,maros,1444,1147,1656268,132,180,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
554,25fv47,1572,1276,2005872,328,502,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
555,scfxm3,1372,1405,1927660,308,248,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
556,ship08s,2388,885,2113380,266,489,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
557,pilot.ja,1989,1598,3178422,436,562,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
558,nesm,3012,1231,3707772,246,91,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
559,pilot.we,2790,1306,3643740,208,294,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
560,sctap2,1881,1561,2936241,361,269,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
561,pilotnov,2173,1673,3635429,259,720,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
562,ganges,1682,2250,3784500,482,383,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
563,sierra,2037,1756,3576972,273,484,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
564,degen3,1819,2221,4039999,639,407,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
565,ship12s,2764,1045,2888380,175,902,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
566,czprob,3524,1439,5071036,241,1013,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
567,ship08l,4284,1429,6121836,469,929,0,0,0,algo_enhanced,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,77:4:3,no-solution-to-validate,64,1
568,sctap3,2481,2101,5212581,610,620,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
569,stocfor2,2032,3285,6675120,1063,624,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
570,pilot,3653,1671,6104163,229,1208,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
571,cycle,2858,3119,8914102,1034,606,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
572,bnl2,3490,3512,12256880,749,1082,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
573,pilot87,4884,2256,11018304,175,1594,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,64,1
574,afiro,33,34,1122,8,6,86,5,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
575,kb2,42,60,2520,12,5,109,14,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
576,sc50a,49,71,3479,12,9,267,4,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
577,sc50b,49,71,3479,18,4,126,12,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
578,adlittle,98,68,6664,20,27,27,6,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
579,blend,84,116,9744,36,23,456,17,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
580,share2b,80,107,8560,31,17,261,0,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
581,sc105,104,151,15704,4,19,794,19,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
582,stocfor1,112,165,18480,56,13,232,23,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,64,1
583,recipe,181,159,28779,21,52,1329,36,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:1,no-solution-to-validate,64,1
584,scagr7,141,180,25380,45,26,1024,25,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:1,no-solution-to-validate,64,1
585,israel,143,164,23452,48,43,1338,3,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,no-solution-to-validate,64,1
586,fit1d,1027,26,26702,6,111,803,1,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:34,no-solution-to-validate,64,1
587,share1b,226,197,44522,52,1,3464,36,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:4,no-solution-to-validate,64,1
588,boeing2,163,185,30155,9,25,1914,33,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:2,no-solution-to-validate,64,1
589,vtp.base,204,250,51000,54,59,496,3,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
590,sc205,204,295,60180,91,47,3705,9,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
591,grow7,302,281,84862,20,84,1553,37,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:14,no-solution-to-validate,64,1
592,beaconfd,263,264,69432,89,86,1448,11,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:15,no-solution-to-validate,64,1
593,lotfi,309,242,74778,59,73,2923,8,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,no-solution-to-validate,64,1
594,brandy,250,305,76250,89,54,4360,19,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:11,no-solution-to-validate,64,1
595,scsd1,761,155,117955,13,155,5955,27,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:59,no-solution-to-validate,64,1
596,e226,283,206,58298,61,63,1590,24,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:8,no-solution-to-validate,64,1
597,forplan,423,246,104058,60,135,115,23,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:39,no-solution-to-validate,64,1
598,bore3d,316,381,120396,117,63,332,2,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:16,no-solution-to-validate,64,1
599,agg,164,495,81180,27,32,7483,56,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:12,no-solution-to-validate,64,1
600,capri,354,404,143016,109,101,3572,95,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:20,no-solution-to-validate,64,1
601,scorpion,359,565,202835,172,104,1936,86,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:30,no-solution-to-validate,64,1
602,bandm,473,539,254947,53,147,8231,32,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:57,no-solution-to-validate,64,1
603,sctap1,481,421,202501,108,137,10661,65,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:31,no-solution-to-validate,64,1
604,scfxm1,458,469,214802,106,61,4866,24,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:41,no-solution-to-validate,64,1
605,agg2,303,545,165135,86,28,496,10,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:34,no-solution-to-validate,64,1
606,agg3,303,545,165135,122,58,3574,17,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:36,no-solution-to-validate,64,1
607,boeing1,474,446,211404,127,101,4905,111,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:42,no-solution-to-validate,64,1
608,stair,468,566,264888,38,48,7586,119,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:52,no-solution-to-validate,64,1
609,grow15,646,601,388246,155,77,6346,113,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:2:18,no-solution-to-validate,64,1
610,tuff,588,622,365736,24,190,13368,77,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:2:0,no-solution-to-validate,64,1
611,scsd6,1351,295,398545,97,429,29373,38,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
612,scagr25,501,648,324648,151,157,19995,5,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:56,no-solution-to-validate,64,1
613,degen2,535,666,356310,26,131,4207,162,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:29,no-solution-to-validate,64,1
614,etamacro,689,673,463697,210,138,31253,124,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:1:42,no-solution-to-validate,64,1
615,finnis,615,522,321030,172,63,2473,85,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:59,no-solution-to-validate,64,1
616,standata,1076,516,555216,173,283,33442,93,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:3:10,no-solution-to-validate,64,1
617,pilot4,1001,682,682682,102,316,46311,80,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:4:9,no-solution-to-validate,64,1
618,grow22,947,881,834307,233,307,371,91,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:45,no-solution-to-validate,64,1
619,standgub,1185,520,616200,162,301,13396,59,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:4:26,no-solution-to-validate,64,1
620,fffff800,855,829,708795,234,229,16055,29,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:3,no-solution-to-validate,64,1
621,standmps,1076,732,787632,97,260,3607,16,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
622,seba,1036,1030,1067080,39,273,43856,30,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:51,no-solution-to-validate,64,1
623,scrs8,1170,863,1009710,267,400,70304,41,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:5,no-solution-to-validate,64,1
624,ship04s,1459,573,836007,179,66,17763,132,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:41,no-solution-to-validate,64,1
625,scfxm2,915,937,857355,291,291,12396,7,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:5:47,no-solution-to-validate,64,1
626,wood1p,2595,487,1263765,154,667,307178,116,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,5:23:16,no-solution-to-validate,64,1
627,gfrd-pnc,1093,1133,1238369,302,333,5736,101,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:29,no-solution-to-validate,64,1
628,bnl1,1176,821,965496,284,197,10694,82,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:49,no-solution-to-validate,64,1
629,ship04l,2119,749,1587131,179,539,43428,165,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:21:23,no-solution-to-validate,64,1
630,perold,1377,1117,1538109,222,438,73950,11,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:14:31,no-solution-to-validate,64,1
631,shell,1776,1071,1902096,179,413,164705,170,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
632,fit1p,1678,1255,2105890,179,470,216222,132,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:29:49,no-solution-to-validate,64,1
633,scsd8,2751,795,2187045,188,749,191469,66,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:54:14,no-solution-to-validate,64,1
634,modszk1,1621,1373,2225633,453,123,80952,39,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:15:58,no-solution-to-validate,64,1
635,maros,1444,1147,1656268,220,174,9205,29,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:16:17,no-solution-to-validate,64,1
636,25fv47,1572,1276,2005872,429,494,28102,275,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:26:38,no-solution-to-validate,64,1
637,scfxm3,1372,1405,1927660,206,439,146405,86,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
638,ship08s,2388,885,2113380,247,625,16643,163,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:30:37,no-solution-to-validate,64,1
639,pilot.ja,1989,1598,3178422,64,191,90518,354,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
640,nesm,3012,1231,3707772,295,958,47210,22,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:35:46,no-solution-to-validate,64,1
641,pilot.we,2790,1306,3643740,399,556,108522,109,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:9:31,no-solution-to-validate,64,1
642,sctap2,1881,1561,2936241,408,169,121526,106,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,64,1
643,pilotnov,2173,1673,3635429,312,683,12815,200,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:59:33,no-solution-to-validate,64,1
