,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
133,scfxm2,915,937,857355,291,291,12396,7,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:6:37,no-solution-to-validate,7,1
134,wood1p,2595,487,1263765,154,667,307178,116,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,7:56:17,no-solution-to-validate,7,1
135,gfrd-pnc,1093,1133,1238369,302,333,5736,101,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:44,no-solution-to-validate,7,1
136,bnl1,1176,821,965496,284,197,10694,82,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:7:9,no-solution-to-validate,7,1
137,ship04l,2119,749,1587131,179,539,43428,165,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:25:41,no-solution-to-validate,7,1
138,perold,1377,1117,1538109,222,438,73950,11,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:14:48,no-solution-to-validate,7,1
139,shell,1776,1071,1902096,179,413,164705,170,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
140,fit1p,1678,1255,2105890,179,470,216222,132,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:29:5,no-solution-to-validate,7,1
141,scsd8,2751,795,2187045,188,749,191469,66,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:56:16,no-solution-to-validate,7,1
142,modszk1,1621,1373,2225633,453,123,80952,39,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:15:59,no-solution-to-validate,7,1
143,maros,1444,1147,1656268,220,174,9205,29,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:20:15,no-solution-to-validate,7,1
144,25fv47,1572,1276,2005872,429,494,28102,275,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:24:9,no-solution-to-validate,7,1
145,scfxm3,1372,1405,1927660,206,439,146405,86,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
146,ship08s,2388,885,2113380,247,625,16643,163,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:36:5,no-solution-to-validate,7,1
147,pilot.ja,1989,1598,3178422,64,191,90518,354,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
148,nesm,3012,1231,3707772,295,958,47210,22,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:32:49,no-solution-to-validate,7,1
149,pilot.we,2790,1306,3643740,399,556,108522,109,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:11:29,no-solution-to-validate,7,1
150,sctap2,1881,1561,2936241,408,169,121526,106,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
151,pilotnov,2173,1673,3635429,312,683,12815,200,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:13:32,no-solution-to-validate,7,1
152,ganges,1682,2250,3784500,422,518,181960,170,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
153,sierra,2037,1756,3576972,358,158,280128,202,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
154,degen3,1819,2221,4039999,553,183,175950,151,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:15:13,no-solution-to-validate,7,1
155,ship12s,2764,1045,2888380,36,690,58050,235,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:47:23,no-solution-to-validate,7,1
156,czprob,3524,1439,5071036,69,851,946945,0,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
157,ship08l,4284,1429,6121836,365,7,61488,256,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,3:20:11,no-solution-to-validate,7,1
158,sctap3,2481,2101,5212581,21,584,6264,247,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:16:41,no-solution-to-validate,7,1
159,stocfor2,2032,3285,6675120,1033,626,58479,746,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,1:24:17,no-solution-to-validate,7,1
160,pilot,3653,1671,6104163,543,610,8157,399,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,3:51:36,no-solution-to-validate,7,1
161,cycle,2858,3119,8914102,839,936,392004,446,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
162,bnl2,3490,3512,12256880,1100,382,130366,211,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
163,pilot87,4884,2256,11018304,703,1591,55769,133,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
164,afiro,33,34,1122,11,5,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:1,valid-solution,20,1
165,kb2,42,60,2520,17,12,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,28:37:6,valid-solution,20,1
166,sc50a,49,71,3479,19,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,20,1
